FID	IID	Phenotype	Amhy_Null	Amhy_Pos	Only_M	Only_F
SRR22066315	SRR22066315	2	1	-9	-9	1
SRR22066314	SRR22066314	2	-9	2	-9	2
SRR22066312	SRR22066312	2	-9	2	-9	2
SRR22066311	SRR22066311	2	-9	2	-9	2
SRR22066310	SRR22066310	1	2	-9	2	-9
SRR22066309	SRR22066309	2	1	-9	-9	1
SRR22066308	SRR22066308	2	1	-9	-9	1
SRR22066307	SRR22066307	2	-9	2	-9	2
SRR22066306	SRR22066306	1	-9	-9	-9	-9
SRR22066305	SRR22066305	-9	-9	-9	-9	-9
SRR22066269	SRR22066269	2	-9	2	-9	2
SRR22066268	SRR22066268	2	1	-9	-9	1
SRR22066266	SRR22066266	2	1	-9	-9	1
SRR22066265	SRR22066265	2	-9	2	-9	2
SRR22066264	SRR22066264	-9	-9	-9	-9	-9
SRR22066263	SRR22066263	2	1	-9	-9	1
SRR22066262	SRR22066262	2	-9	2	-9	2
SRR22066261	SRR22066261	2	1	-9	-9	1
SRR22066260	SRR22066260	2	-9	2	-9	2
SRR22066259	SRR22066259	1	2	-9	2	-9
SRR22066258	SRR22066258	2	1	-9	-9	1
SRR22066257	SRR22066257	2	-9	2	-9	2
SRR22066255	SRR22066255	1	-9	1	1	-9
SRR22066254	SRR22066254	2	-9	2	-9	2
SRR22066253	SRR22066253	2	1	-9	-9	1
SRR22066252	SRR22066252	2	-9	2	-9	2
SRR22066251	SRR22066251	2	-9	2	-9	2
SRR22066250	SRR22066250	1	-9	1	1	-9
SRR22066249	SRR22066249	2	1	-9	-9	1
SRR22066248	SRR22066248	2	-9	2	-9	2
SRR22066247	SRR22066247	2	1	-9	-9	1
SRR22066246	SRR22066246	1	-9	1	1	-9
SRR22066244	SRR22066244	2	-9	2	-9	2
SRR22066243	SRR22066243	2	1	-9	-9	1
SRR22066242	SRR22066242	2	1	-9	-9	1
SRR22066304	SRR22066304	-9	-9	-9	-9	-9
SRR22066303	SRR22066303	-9	-9	-9	-9	-9
SRR22066302	SRR22066302	1	-9	1	1	-9
SRR22066301	SRR22066301	2	1	-9	-9	1
SRR22066300	SRR22066300	2	-9	2	-9	2
SRR22066299	SRR22066299	2	-9	2	-9	2
SRR22066298	SRR22066298	2	-9	2	-9	2
SRR22066357	SRR22066357	-9	-9	-9	-9	-9
SRR22066356	SRR22066356	-9	-9	-9	-9	-9
SRR22066355	SRR22066355	-9	-9	-9	-9	-9
SRR22066354	SRR22066354	2	-9	2	-9	2
SRR22066353	SRR22066353	2	1	-9	-9	1
SRR22066352	SRR22066352	1	-9	1	1	-9
SRR22066351	SRR22066351	1	-9	1	1	-9
SRR22066350	SRR22066350	2	1	-9	-9	1
SRR22066349	SRR22066349	2	1	-9	-9	1
SRR22066348	SRR22066348	-9	-9	-9	-9	-9
SRR22066346	SRR22066346	1	-9	1	1	-9
SRR22066345	SRR22066345	2	-9	2	-9	2
SRR22066344	SRR22066344	2	-9	2	-9	2
SRR22066343	SRR22066343	2	-9	2	-9	2
SRR22066342	SRR22066342	2	-9	2	-9	2
SRR22066341	SRR22066341	-9	-9	-9	-9	-9
SRR22066340	SRR22066340	-9	-9	-9	-9	-9
SRR22066339	SRR22066339	2	1	-9	-9	1
SRR22066338	SRR22066338	1	-9	1	1	-9
